,portfolio_value,return,weight_AAPL,weight_AGG,weight_AMZN,weight_GLD,weight_GOOGL,weight_META,weight_MSFT,weight_SPY,weight_TLT,weight_XLE,weight_XLF,weight_XLK,weight_XLP,weight_XLV,cumulative_return,drawdown,position_change,transaction_cost,rolling_volatility,rolling_return,rolling_sharpe,year,month,rolling_var95,rolling_cvar95
2023-05-02,1.1030904429414217,-0.01678732628371038,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.3999985,0.10309044294142167,-0.022228585556974708,2.9802322e-08,8.940697e-11,,,,2023,5,,
2023-05-03,1.0855106636045722,-0.015936843120472055,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.39999858,0.08551066360457216,-0.03781117519663531,8.940697e-08,2.682209e-10,,,,2023,5,,
2023-05-04,1.0600323091574726,-0.02347130737757619,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.39999864,0.060032309157472596,-0.06039500485886383,5.9604645e-08,1.7881394e-10,,,,2023,5,,
2023-05-05,1.0930816504744332,0.031177673577920118,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.39999864,0.09308165047443318,-0.031100307028170272,0.0,0.0,,,,2023,5,,
2023-05-08,1.071963139238448,-0.01932015895319339,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.39999875,0.0719631392384481,-0.04981960310608633,1.1920929e-07,3.5762787e-10,,,,2023,5,,
2023-05-09,1.0609455377462678,-0.010277966740542488,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.3999988,0.060945537746267764,-0.059585525622877486,5.9604645e-08,1.7881394e-10,,,,2023,5,,
2023-05-10,1.0369799408642966,-0.02258890398170721,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.39999893,0.03697994086429657,-0.08082845788759,1.1920929e-07,3.5762787e-10,,,,2023,5,,
2023-05-11,1.0115136920919852,-0.02455809198303871,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.39999896,0.011513692091985162,-0.10340155716697806,2.9802322e-08,8.940697e-11,,,,2023,5,,
2023-05-12,1.0017662859636296,-0.009636454953166562,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.39999905,0.0017662859636295991,-0.11204158767241773,8.940697e-08,2.682209e-10,,,,2023,5,,
2023-05-15,1.0072763298535645,0.00550032873649231,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999998,0.4,-0.4,0.4,0.3999991,0.007276329853564523,-0.10715752450028224,8.940697e-08,2.682209e-10,,,,2023,5,,
2023-05-16,0.9611083082894862,-0.04583451451776899,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999998,0.4,-0.4,0.4,0.39999917,-0.038891691710513765,-0.14808052590565488,5.9604645e-08,1.7881394e-10,,,,2023,5,,
2023-05-17,0.9725292410464378,0.011883086077236982,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999977,0.4,-0.4,0.4,0.39999926,-0.027470758953562213,-0.13795709346411733,1.1920929e-07,3.5762787e-10,,,,2023,5,,
2023-05-18,0.9640135259700642,-0.00875625607638364,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999998,0.4,-0.4,0.4,0.39999935,-0.03598647402993582,-0.14550536190257554,1.1920929e-07,3.5762787e-10,,,,2023,5,,
2023-05-19,0.9717871811399503,0.008063844500588058,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.3999995,-0.02821281886004967,-0.13861485001437168,1.7881393e-07,5.364418e-10,,,,2023,5,,
2023-05-22,0.9646285333862938,-0.007366476830100832,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.3999996,-0.03537146661370616,-0.1449602237635338,8.940697e-08,2.682209e-10,,,,2023,5,,
2023-05-23,0.9529194867348535,-0.012138399649382348,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.3999996,-0.047080513265146506,-0.15533903828361043,0.0,0.0,,,,2023,5,,
2023-05-24,0.9407121786833791,-0.012810429654767974,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.3999996,-0.059287821316620914,-0.16615950811580688,0.0,0.0,,,,2023,5,,
2023-05-25,0.9299432461520584,-0.011447638050559594,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.39999962,-0.07005675384794163,-0.17570501225879773,2.9802322e-08,8.940697e-11,,,,2023,5,,
2023-05-26,0.9381187166297996,0.008791364969389148,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.39999962,-0.06188128337020038,-0.16845833417912667,0.0,0.0,,,,2023,5,,
2023-05-30,0.9350187717435618,-0.0033044270744051474,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999986,0.4,-0.4,0.4,0.39999968,-0.06498122825643815,-0.17120610297316116,8.940697e-08,2.682209e-10,,,,2023,5,,
2023-05-31,0.9399074034086152,0.005228378095487152,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999986,0.4,-0.4,0.4,0.3999997,-0.06009259659138477,-0.16687285511627256,2.9802322e-08,8.940697e-11,,,,2023,5,,
2023-06-01,0.9686873100255979,0.030619938211584596,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999986,0.4,-0.4,0.4,0.3999997,-0.031312689974402064,-0.14136255341753895,0.0,0.0,,,,2023,6,,
2023-06-02,0.9881064355156302,0.02004684616908947,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999999,0.4,-0.4,0.4,0.3999997,-0.011893564484369845,-0.12414958061088059,2.9802322e-08,8.940697e-11,,,,2023,6,,
2023-06-05,0.9748175786203277,-0.013448811198530253,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999999,0.4,-0.4,0.4,0.39999974,-0.025182421379672304,-0.13592872753939844,2.9802322e-08,8.940697e-11,,,,2023,6,,
2023-06-06,0.96987704521655,-0.005068161994749909,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999999,0.4,-0.4,0.4,0.39999974,-0.03012295478344995,-0.14030798072323844,0.0,0.0,,,,2023,6,,
2023-06-07,0.9762647582287161,0.006586105984949686,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999999,0.4,-0.4,0.4,0.3999997,-0.023735241771283944,-0.13464595796986628,2.9802322e-08,8.940697e-11,,,,2023,6,,
2023-06-08,0.9905597046549092,0.014642489453505547,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999999,0.4,-0.4,0.4,0.3999997,-0.009440295345090832,-0.12197502053589167,0.0,0.0,,,,2023,6,,
2023-06-09,0.9908740740826922,0.0003173654513763946,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999986,0.4,-0.4,0.4,0.39999968,-0.009125925917307764,-0.1216963657419643,5.9604645e-08,1.7881394e-10,,,,2023,6,,
2023-06-12,0.9915618215159723,0.0006940815702709546,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999999,0.4,-0.4,0.4,0.39999968,-0.008438178484027725,-0.12108675137632384,2.9802322e-08,8.940697e-11,,,,2023,6,,
2023-06-13,0.9923448898377163,0.0007897322231980031,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999999,0.4,-0.4,0.4,0.39999965,-0.007655110162283707,-0.12039264526249013,2.9802322e-08,8.940697e-11,,,,2023,6,,
2023-06-14,0.9944701203877189,0.002141624924727692,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.3999996,-0.00552987961228113,-0.11850885622761052,1.1920929e-07,3.5762787e-10,,,,2023,6,,
2023-06-15,1.0462072101108062,0.052024780496086054,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.39999953,0.046207210110806196,-0.07264947296360814,5.9604645e-08,1.7881394e-10,,,,2023,6,,
2023-06-16,1.043559211443855,-0.002531046088538047,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999998,0.4,-0.4,0.4,0.39999953,0.043559211443854995,-0.07499663988776725,2.9802322e-08,8.940697e-11,,,,2023,6,,
